orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,Freight,productID,unitPrice,quantity,discount,companyName,contactName,contactTitle,employees.lastName,employees.firstName,employees.title,productName,supplierID,categoryID,quantityPerUnit,unitPrice.1,unitsInStock,unitsOnOrder,reorderLevel,discontinued,categoryName,suppliers.companyName,suppliers.contactName,suppliers.contactTitle
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,11,14,12,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Buchanan,Steven,Sales Manager,Queso Cabrales,5,4,1 kg pkg.,21,22,30,30,0,Dairy Products,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator
10266,WARTH,3,1996-07-26,1996-09-06,1996-07-31,3,25.73,12,30.4,12,0.05,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Leverling,Janet,Sales Representative,Queso Manchego La Pastora,5,4,10 - 500 g pkgs.,38,86,0,0,0,Dairy Products,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator
10258,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,140.51,2,15.2,50,0.2,Ernst Handel,Roland Mendel,Sales Manager,Davolio,Nancy,Sales Representative,Chang,1,1,24 - 12 oz bottles,19,17,40,25,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager
10255,RICSU,9,1996-07-12,1996-08-09,1996-07-15,3,148.33,2,15.2,20,0,Richter Supermarkt,Michael Holz,Sales Manager,Dodsworth,Anne,Sales Representative,Chang,1,1,24 - 12 oz bottles,19,17,40,25,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager
10264,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3,3.67,2,15.2,35,0,Folk och fä HB,Maria Larsson,Owner,Suyama,Michael,Sales Representative,Chang,1,1,24 - 12 oz bottles,19,17,40,25,0,Beverages,Exotic Liquids,Charlotte Cooper,Purchasing Manager
10248,VINET,5,1996-07-04,1996-08-01,1996-07-16,3,32.38,72,34.8,5,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Buchanan,Steven,Sales Manager,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0,Dairy Products,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative
10274,VINET,6,1996-08-06,1996-09-03,1996-08-16,1,6.01,72,27.8,7,0,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Suyama,Michael,Sales Representative,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0,Dairy Products,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative
10268,GROSR,8,1996-07-30,1996-08-27,1996-08-02,3,66.29,72,27.8,4,0,GROSELLA-Restaurante,Manuel Pereira,Owner,Callahan,Laura,Inside Sales Coordinator,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0,Dairy Products,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative
10272,RATTC,6,1996-08-02,1996-08-30,1996-08-06,2,98.03,72,27.8,24,0,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Suyama,Michael,Sales Representative,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8,14,0,0,0,Dairy Products,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative
10258,ERNSH,1,1996-07-17,1996-08-14,1996-07-23,1,140.51,5,17,65,0.2,Ernst Handel,Roland Mendel,Sales Manager,Davolio,Nancy,Sales Representative,Chef Anton's Gumbo Mix,2,2,36 boxes,21.35,0,0,0,1,Condiments,New Orleans Cajun Delights,Shelley Burke,Order Administrator
